172.18.0.1 - - [28/Mar/2023:09:37:29 +0000] "GET / HTTP/1.1" 200 3014 "-" "curl/7.68.0"
172.18.0.1 - - [28/Mar/2023:09:37:47 +0000] "GET / HTTP/1.1" 200 3014 "-" "curl/7.68.0"
172.18.0.1 - - [28/Mar/2023:09:44:35 +0000] "GET / HTTP/1.1" 200 3014 "-" "curl/7.68.0"
172.18.0.1 - - [28/Mar/2023:09:45:58 +0000] "GET / HTTP/1.1" 200 3014 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
172.18.0.1 - - [28/Mar/2023:09:45:58 +0000] "GET /static/css/main.8c8b27cf.chunk.css HTTP/1.1" 200 804 "https://lovelace2.wns.wilders.dev/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
172.18.0.1 - - [28/Mar/2023:09:45:58 +0000] "GET /static/js/main.419ca285.chunk.js HTTP/1.1" 200 5247 "https://lovelace2.wns.wilders.dev/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
172.18.0.1 - - [28/Mar/2023:09:45:58 +0000] "GET /static/js/2.1c9d4dd4.chunk.js HTTP/1.1" 200 373254 "https://lovelace2.wns.wilders.dev/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
172.18.0.1 - - [28/Mar/2023:09:45:59 +0000] "GET /favicon.ico HTTP/1.1" 200 3870 "https://lovelace2.wns.wilders.dev/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
172.18.0.1 - - [28/Mar/2023:09:45:59 +0000] "GET /manifest.json HTTP/1.1" 200 492 "https://lovelace2.wns.wilders.dev/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
172.18.0.1 - - [28/Mar/2023:09:45:59 +0000] "POST /graphql HTTP/1.1" 200 24 "https://lovelace2.wns.wilders.dev/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
172.18.0.1 - - [28/Mar/2023:09:45:59 +0000] "GET /logo192.png HTTP/1.1" 200 5347 "https://lovelace2.wns.wilders.dev/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
172.18.0.1 - - [28/Mar/2023:09:50:29 +0000] "GET / HTTP/1.1" 200 3014 "-" "Mozilla/5.0 (Linux; U; Android 2.2; ja-jp; SC-02B Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
172.18.0.1 - - [28/Mar/2023:09:50:33 +0000] "GET / HTTP/1.1" 200 3014 "-" "Mozilla/5.0 (Linux; U; Android 2.2; ja-jp; SC-02B Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
172.18.0.1 - - [28/Mar/2023:10:50:52 +0000] "GET / HTTP/1.1" 200 3014 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0"
